raw,measured_voltage
2344,1888
2280,1837
2273,1831
2281,1838
2304,1856
2283,1839
2279,1836
2279,1836
2291,1846
2279,1836
2279,1836
2293,1847
2275,1833
2284,1840
2277,1834
2281,1838
2280,1837
2275,1833
2280,1837
2303,1855
2292,1847
2294,1848
2275,1833
2275,1833
2299,1852
2232,1798
2287,1843
2276,1834
2205,1776
2134,1719
1994,1606
1864,1502
1715,1382
1571,1266
1417,1141
1259,1014
1178,949
1121,903
1056,850
1040,838
1038,836
1035,834
1047,843
1112,896
1005,809
953,767
840,676
689,555
568,457
459,369
375,302
271,218
160,128
74,59
10,8
2,1
1,0
5,4
3,2
7,5
1,0
5,4
1,0
4,3
4,3
7,5
0,0
0,0
0,0
2,1
8,6
4,3
6,4
8,6
6,4
101,81
208,167
301,242
325,261
328,264
345,278
345,278
268,215
166,133
64,51
4,3
1,0
4,3
0,0
9,7
5,4
0,0
0,0
0,0
4,3
0,0
0,0
8,6
5,4
88,70
171,137
228,183
294,236
325,261
376,303
355,286
353,284
351,282
355,286
393,316
480,386
610,491
751,605
864,696
961,774
1045,842
1129,909
1100,886
1092,880
1097,884
1112,896
1169,942
1250,1007
1395,1124
1549,1248
1671,1346
1747,1407
1845,1486
1938,1561
2009,1618
2111,1701
2221,1789
2082,1677
2060,1660
2142,1726
2222,1790
2373,1912
2511,2023
2638,2125
2780,2240
2832,2282
2931,2361
3038,2448
3052,2459
3064,2469
3053,2460
3066,2470
3157,2544
3298,2657
3439,2771
3575,2880
3632,2926
3681,2966
3760,3030
3795,3058
3762,3031
3786,3050
3820,3078
3812,3071
3877,3124
4015,3235
4088,3294
4093,3298
4095,3300
4095,3300
4093,3298
4093,3298
4066,3276
4094,3299
4094,3299
4095,3300
4093,3298
4095,3300
4094,3299
4060,3271
4095,3300
4095,3300
4011,3232
3900,3142
3845,3098
3803,3064
3810,3070
3797,3059
3778,3044
3756,3026
3754,3025
3765,3034
3769,3037
3766,3034
3766,3034
3755,3026
3744,3017
3739,3013
3780,3046
3896,3139
4005,3227
4095,3300
4093,3298
4088,3294
4095,3300
4086,3292
4095,3300
4072,3281
3953,3185
3820,3078
3740,3013
3711,2990
3727,3003
3681,2966
3666,2954
3648,2939
3657,2947
3704,2984
3792,3055
3837,3092
3841,3095
3837,3092
3890,3134
3944,3178
4090,3295
4094,3299
4095,3300
4094,3299
4095,3300
4095,3300
4093,3298
4095,3300
4094,3299
4095,3300
4083,3290
4093,3298
4093,3298
4014,3234
3905,3146
3868,3117
3860,3110
3866,3115
3862,3112
3749,3021
3617,2914
3448,2778
3308,2665
3192,2572
3193,2573
3173,2556
3242,2612
3094,2493
2904,2340
2725,2195
2566,2067
2520,2030
2506,2019
2543,2049
2478,1996
2263,1823
2064,1663
1855,1494
1668,1344
1501,1209
1450,1168
1449,1167
1431,1153
1377,1109
1099,885
965,777
810,652
833,671
956,770
1057,851
1263,1017
1356,1092
1296,1044
1323,1066
1210,975
1297,1045
1589,1280
1930,1555
2102,1693
2080,1676
2083,1678
2106,1697
2272,1830
2612,2104
2875,2316
3043,2452
3022,2435
3009,2424
3115,2510
3321,2676
3583,2887
3875,3122
3998,3221
4089,3295
4094,3299
4089,3295
4089,3295
4089,3295
4095,3300
4095,3300
4094,3299
4095,3300
4095,3300
4086,3292
4094,3299
4094,3299
4095,3300
4095,3300
4095,3300
4093,3298
4095,3300
4095,3300
4094,3299
4092,3297
4095,3300
4095,3300
4095,3300
4095,3300
4083,3290
4091,3296
4093,3298
